status,gene-symbol,UMLS_by_symbol,gene-name,UMLS_by_name,ensembl-id,chromosome,genetic-category,gene-score,syndromic,eagle,number-of-reports
9,INPP1,C1416440,inositol polyphosphate-1-phosphatase,C1416440,,2,"Rare Single Gene Mutation, Genetic Association",2.0,0,,5
9,INTS1,C1825603,integrator complex subunit 1,C1825603,,7,"Rare Single Gene Mutation, Syndromic",,1,,13
9,INTS6,C1333210,Integrator complex subunit 6,C0909050,,13,Rare Single Gene Mutation,2.0,0,,6
9,IQGAP3,C1427069,IQ motif containing GTPase activating protein 3,C1416472,,1,Rare Single Gene Mutation,2.0,0,,7
9,IQSEC2,C1537419,IQ motif and Sec7 domain 2,C1514562,,X,"Rare Single Gene Mutation, Syndromic, Functional",1.0,1,,60
9,IRF2BPL,C1422540,Interferon regulatory factor 2 binding protein-like,C1427726,,14,"Rare Single Gene Mutation, Syndromic",1.0,1,9.0,19
9,IRX5,C1422593,iroquois homeobox 5,C1422593,,16,"Rare Single Gene Mutation, Syndromic",3.0,1,,3
9,ITGA8,C1416490,integrin subunit alpha 8,C1416490,,10,Rare Single Gene Mutation,3.0,0,,7
9,ITGB3,C1416498,"integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)",C0003320,,17,"Rare Single Gene Mutation, Genetic Association, Functional",2.0,0,,22
9,ITPR1,C1334148,"inositol 1,4,5-trisphosphate receptor type 1",C0626645,,3,Rare Single Gene Mutation,2.0,0,,20
9,ITSN1,C1416520,intersectin 1,C0760530,,21,"Rare Single Gene Mutation, Syndromic, Genetic Association",2.0,0,,11
9,JARID2,C1416528,jumonji and AT-rich interaction domain containing 2,C1416528,,6,"Rare Single Gene Mutation, Syndromic, Genetic Association",2.0,0,,19
9,JMJD1C,C1421152,jumonji domain containing 1C,C1427145,,10,Rare Single Gene Mutation,2.0,0,,10
9,KANK1,C1426156,KN motif and ankyrin repeat domains 1,C1292327,,9,Rare Single Gene Mutation,2.0,0,,14
9,KANSL1,C1825683,KAT8 regulatory NSL complex subunit 1,C0890491,,17,"Rare Single Gene Mutation, Syndromic, Functional",1.0,1,1.1,13
9,KAT2B,C1366462,K(lysine) acetyltransferase 2B,C1366462,,3,"Rare Single Gene Mutation, Functional",2.0,0,,8
9,KAT6A,C1421709,K(lysine) acetyltransferase 6A,C0001068,,8,"Rare Single Gene Mutation, Syndromic, Functional",2.0,1,,36
9,KAT6B,C1425003,lysine acetyltransferase 6B,C1425003,,10,"Rare Single Gene Mutation, Syndromic, Functional",3.0,0,,14
9,KATNAL1,C1428695,katanin catalytic subunit A1 like 1,C0662286,,13,"Rare Single Gene Mutation, Functional",2.0,0,,4
9,KATNAL2,C1537433,Katanin p60 subunit A-like 2,C1537433,,18,"Rare Single Gene Mutation, Functional",1.0,0,4.1,19
9,KCNA2,C1416545,potassium voltage-gated channel subfamily A member 2,C1416545,,1,Rare Single Gene Mutation,3.0,0,,12
9,KCNA3,C1416546,potassium voltage-gated channel subfamily A member 3,C1416546,,1,Rare Single Gene Mutation,3.0,0,,2
9,KCNB1,C1416554,potassium voltage-gated channel subfamily B member 1,C1416554,,20,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",1.0,1,,33
9,KCNC1,C1416556,potassium voltage-gated channel subfamily C member 1,C1416556,,11,"Rare Single Gene Mutation, Functional",2.0,0,,11
9,KCNC2,C1416557,potassium voltage-gated channel subfamily C member 2,C1416557,,12,Rare Single Gene Mutation,3.0,0,,15
9,KCND2,C1416561,potassium voltage-gated channel subfamily D member 2,C1416561,,7,"Rare Single Gene Mutation, Genetic Association",2.0,0,,10
9,KCND3,C1416562,potassium voltage-gated channel subfamily D member 3,C1416562,,1,"Rare Single Gene Mutation, Syndromic, Genetic Association",2.0,0,,15
9,KCNH1,C1416571,potassium voltage-gated channel subfamily H member 1,C1416571,,1,Rare Single Gene Mutation,3.0,1,,6
9,KCNH5,C1416575,potassium voltage-gated channel subfamily H member 5,C1416575,,14,"Rare Single Gene Mutation, Functional",3.0,0,,6
9,KCNH7,C1425834,potassium voltage-gated channel subfamily H member 7,C1425834,,2,"Rare Single Gene Mutation, Genetic Association, Functional",3.0,0,,11
9,KCNJ10,C1416577,potassium voltage-gated channel subfamily J member 10,C1416544,,1,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",2.0,0,,15
9,KCNJ15,C1416582,potassium voltage-gated channel subfamily J member 15,C1416587,,21,Rare Single Gene Mutation,2.0,0,,3
9,KCNK7,C1416600,potassium two pore domain channel subfamily K member 7,C0032821,,11,Rare Single Gene Mutation,2.0,0,,3
9,KCNMA1,C1416602,"potassium large conductance calcium-activated channel, subfamily M, alpha member 1",C0288250,,10,"Rare Single Gene Mutation, Syndromic",2.0,0,,34
9,KCNN2,C1416609,potassium calcium-activated channel subfamily N member 2,C1416609,,5,Rare Single Gene Mutation,3.0,0,,5
9,KCNQ2,C1416614,potassium voltage-gated channel subfamily Q member 2,C1416614,,20,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",1.0,0,,69
9,KCNQ3,C1416615,potassium voltage-gated channel subfamily Q member 3,C1416615,,8,"Rare Single Gene Mutation, Genetic Association, Functional",1.0,0,11.1,22
9,KCNS3,C1416620,potassium voltage-gated channel modifier subfamily S member 3,C0814023,,2,Rare Single Gene Mutation,2.0,0,,6
9,KCTD13,C1427765,Potassium channel tetramerisation domain containing 13,C0032824,,16,"Rare Single Gene Mutation, Functional",2.0,0,,9
9,KDM1B,C1427624,lysine demethylase 1B,C1427624,,6,Rare Single Gene Mutation,2.0,0,,3
9,KDM2A,C1422100,lysine demethylase 2A,C1422100,,11,Rare Single Gene Mutation,3.0,0,,10
9,KDM2B,C1422104,lysine demethylase 2B,C1422104,,12,"Rare Single Gene Mutation, Syndromic, Functional",1.0,0,,13
9,KDM3A,C1427145,lysine demethylase 3A,C1427145,,2,Rare Single Gene Mutation,3.0,0,,4
9,KDM3B,C1413012,lysine demethylase 3B,C1413012,,5,"Rare Single Gene Mutation, Syndromic",1.0,1,1.5,6
9,KDM4B,C1428797,lysine demethylase 4B,C1428797,,19,"Rare Single Gene Mutation, Syndromic, Functional",2.0,0,,6
9,KDM4C,C1424723,lysine demethylase 4C,C1424723,,9,Rare Single Gene Mutation,2.0,0,,4
9,KDM5A,C1419288,lysine demethylase 5A,C1419288,,12,"Rare Single Gene Mutation, Functional",2.0,0,,5
9,KDM5B,C1425259,Lysine (K)-specific demethylase 5B,C0024337,,1,"Rare Single Gene Mutation, Syndromic, Functional",1.0,0,2.8,29
9,KDM1A,C1428785,lysine demethylase 1A,C1428785,,1,"Rare Single Gene Mutation, Functional",3.0,0,,5
9,KDM5C,C1539790,lysine demethylase 5C,C1539790,,X,"Rare Single Gene Mutation, Syndromic, Functional",1.0,0,,52
9,KDM6A,C1421414,lysine demethylase 6A,C1421414,,X,"Rare Single Gene Mutation, Syndromic",2.0,0,,17
9,KDM6B,C1428772,Lysine (K)-specific demethylase 6B,C1417050,,17,"Rare Single Gene Mutation, Syndromic, Functional",1.0,0,13.75,28
9,KHDRBS2,C1425320,"KH domain containing, RNA binding, signal transduction associated 2",C1148846,,6,Rare Single Gene Mutation,2.0,0,,4
9,KIAA0232,C2239556,KIAA0232,C2239556,,4,Rare Single Gene Mutation,1.0,0,,4
9,KIAA1586,C1427508,KIAA1586,C1427508,,6,Rare Single Gene Mutation,2.0,0,,6
9,KIF13B,C1422625,Kinesin family member 13B,C1422625,,8,Rare Single Gene Mutation,2.0,0,,7
9,KIF14,C1426070,kinesin family member 14,C1173400,,1,"Rare Single Gene Mutation, Syndromic",2.0,0,,7
9,KIF1A,C1412698,kinesin family member 1A,C1412698,,2,"Rare Single Gene Mutation, Syndromic",2.0,1,,18
9,KIF5C,C1416640,Kinesin family member 5C,C1416640,,2,"Rare Single Gene Mutation, Syndromic, Functional",2.0,1,,17
9,KIRREL3,C1427986,Kin of IRRE like 3 (Drosophila),C0013138,,11,Rare Single Gene Mutation,2.0,0,,20
9,KIZ,C1423787,kizuna centrosomal protein,C1423787,,20,"Genetic Association, Functional",3.0,0,,2
9,KLF16,C1424598,Kruppel like factor 16,C1506307,,19,Rare Single Gene Mutation,2.0,0,,1
9,KLF7,C1416662,Kruppel like factor 7,C1506307,,2,"Rare Single Gene Mutation, Functional",3.0,0,,15
9,KLHL20,C1537498,kelch like family member 20,C0086282,,1,"Rare Single Gene Mutation, Syndromic, Functional",1.0,0,,4
9,KMT2A,C0919528,Lysine (K)-specific methyltransferase 2A,C0919528,,11,"Rare Single Gene Mutation, Syndromic, Functional",1.0,1,,56
9,KMT2B,C1847413,lysine methyltransferase 2B,C1847413,,19,"Rare Single Gene Mutation, Syndromic",3.0,0,,12
9,KMT2C,C1422165,Lysine (K)-specific methyltransferase 2C,C1422165,,7,"Rare Single Gene Mutation, Syndromic, Functional",1.0,1,,46
9,KMT2E,C1425586,Lysine (K)-specific methyltransferase 2E,C1425586,,7,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",1.0,1,,25
9,KMT5B,C1539900,lysine methyltransferase 5B,C0033641,,11,"Rare Single Gene Mutation, Syndromic, Functional",1.0,0,,32
9,KNG1,C1537501,kininogen 1,C1537501,,3,Rare Single Gene Mutation,3.0,0,,2
9,KPTN,C1416708,"kaptin, actin binding protein",C0001239,,19,"Rare Single Gene Mutation, Syndromic, Functional",,1,,9
