phenotype_id,phenotype_label,source
HP:0009046,Difficulty running,Monarch
HP:0009049,Peroneal muscle atrophy,Monarch
HP:0009053,Distal lower limb muscle weakness,Monarch
HP:0009077,Weakness of long finger extensor muscles,Monarch
HP:0009129,Upper limb amyotrophy,Monarch
HP:0009879,Simplified gyral pattern,Monarch
HP:0010602,Type 2 muscle fiber predominance,Monarch
HP:0011003,High myopia,Monarch
HP:0011344,Severe global developmental delay,Monarch
HP:0011399,Tibialis anterior muscle atrophy,Monarch
HP:0011675,Arrhythmia,Monarch
HP:0011705,First degree atrioventricular block,Monarch
HP:0011706,Second degree atrioventricular block,Monarch
HP:0011711,Left anterior fascicular block,Monarch
HP:0011712,Complete right bundle branch block,Monarch
HP:0011727,Peroneal muscle weakness,Monarch
HP:0011800,Midface retrusion,Monarch
HP:0011951,Aspiration pneumonia,Monarch
HP:0011968,Feeding difficulties,Monarch
HP:0012084,Abnormality of skeletal muscle fiber size,Monarch
HP:0012110,Hypoplasia of the pons,Monarch
HP:0012378,Fatigue,Monarch
HP:0012548,Fatty replacement of skeletal muscle,Monarch
HP:0012587,Macroscopic hematuria,Monarch
HP:0012664,Reduced left ventricular ejection fraction,Monarch
HP:0020152,Distal joint hypermobility,Monarch
HP:0020202,Abnormal Z disk morphology,Monarch
HP:0025335,Delayed ability to stand,Monarch
HP:0025403,Stooped posture,Monarch
HP:0025435,Increased circulating lactate dehydrogenase concentration,Monarch
HP:0025717,Skeletal muscle autophagosome accumulation,Monarch
HP:0030046,Hypoglycosylation of alpha-dystroglycan,Monarch
HP:0030051,Tip-toe gait,Monarch
HP:0030095,Reduced muscle collagen VI,Monarch
HP:0030099,Reduced muscle fiber alpha dystroglycan,Monarch
HP:0030227,Accumulation of muscle fiber myotilin,Monarch
HP:0030234,Highly elevated creatine kinase,Monarch
HP:0030237,Hand muscle weakness,Monarch
HP:0030319,Weakness of facial musculature,Monarch
HP:0031237,Internally nucleated skeletal muscle fibers,Monarch
HP:0031295,Left atrial enlargement,Monarch
HP:0031329,Interstitial cardiac fibrosis,Monarch
HP:0031882,Agyria,Monarch
HP:0031936,Delayed ability to walk,Monarch
HP:0031956,Elevated circulating aspartate aminotransferase concentration,Monarch
HP:0032019,Muscle eosinophilia,Monarch
HP:0032152,Keratosis pilaris,Monarch
HP:0032341,Reduced forced vital capacity,Monarch
HP:0032359,Decreased forced expiratory flow 25-75%,Monarch
HP:0032792,Tonic seizure,Monarch
HP:0032989,Delayed ability to roll over,Monarch
HP:0033122,Absent P wave,Monarch
HP:0033383,Decreased compound muscle action potential amplitude,Monarch
HP:0033685,Fiber type grouping,Monarch
HP:0033686,Mitochondrial hypertrophy,Monarch
HP:0033802,Intra-epidermal blistering,Monarch
HP:0034045,Angulated muscle fibers,Monarch
HP:0034291,Elevated circulating creatine concentration,Monarch
HP:0034391,Elbow contracture,Monarch
HP:0034392,Joint contracture,Monarch
HP:0034665,Shoulder contracture,Monarch
HP:0034677,Ankle contracture,Monarch
HP:0040078,Axonal degeneration,Monarch
HP:0100295,Muscle fiber atrophy,Monarch
HP:0100297,Increased endomysial connective tissue,Monarch
HP:0100298,Motheaten muscle fibers,Monarch
HP:0410174,Increased circulating troponin T concentration,Monarch
