pathway_id,pathway_name,description_tmp,combined_text,UMLS_ID,UMLS_score,UMLS_mapping_method
hsa04923,Regulation of lipolysis in adipocytes,,Regulation of lipolysis in adipocytes.,C0206131,0.9846466183662415,scispacy_best_score
hsa04920,Adipocytokine signaling pathway,,Adipocytokine signaling pathway.,C2246617,0.9726856350898743,scispacy_best_score
hsa03320,PPAR signaling pathway,,PPAR signaling pathway.,C2752275,0.969348669052124,scispacy_best_score
hsa04929,GnRH secretion,,GnRH secretion.,C0036536,0.9644787311553955,scispacy_best_score
hsa04912,GnRH signaling pathway,,GnRH signaling pathway.,C0037080,0.9742857217788696,scispacy_best_score
hsa04913,Ovarian steroidogenesis,,Ovarian steroidogenesis.,C0597513,0.8128048181533813,scispacy_best_score
hsa04915,Estrogen signaling pathway,,Estrogen signaling pathway.,C0037083,0.7955009937286377,scispacy_best_score
hsa04914,Progesterone-mediated oocyte maturation,,Progesterone-mediated oocyte maturation.,C0678723,0.9798412919044495,scispacy_best_score
hsa04917,Prolactin signaling pathway,,Prolactin signaling pathway.,C3538949,0.9699581861495972,scispacy_best_score
hsa04921,Oxytocin signaling pathway,,Oxytocin signaling pathway.,C0037080,0.9742857217788696,scispacy_best_score
hsa04926,Relaxin signaling pathway,,Relaxin signaling pathway.,C0037083,0.8126105070114136,scispacy_best_score
hsa04935,"Growth hormone synthesis, secretion and action",,"Growth hormone synthesis, secretion and action.",C0037663,0.9764378666877747,scispacy_best_score
hsa04918,Thyroid hormone synthesis,,Thyroid hormone synthesis.,C0040135,0.9853694438934326,scispacy_best_score
hsa04919,Thyroid hormone signaling pathway,,Thyroid hormone signaling pathway.,C0037080,0.9742857217788696,scispacy_best_score
hsa04928,"Parathyroid hormone synthesis, secretion and action",,"Parathyroid hormone synthesis, secretion and action.",C0020063,0.9869837164878845,scispacy_best_score
hsa04916,Melanogenesis,,Melanogenesis.,C1513094,0.9866088032722473,scispacy_best_score
hsa04924,Renin secretion,,Renin secretion.,C0036536,0.9644787311553955,scispacy_best_score
hsa04614,Renin-angiotensin system,,Renin-angiotensin system.,C0035096,0.9791030287742615,scispacy_best_score
hsa04925,Aldosterone synthesis and secretion,,Aldosterone synthesis and secretion.,C0002006,0.9568771123886108,scispacy_best_score
hsa04927,Cortisol synthesis and secretion,,Cortisol synthesis and secretion.,C2612768,0.9913691878318787,scispacy_best_score
hsa04260,Cardiac muscle contraction,,Cardiac muscle contraction.,C1516294,0.9796266555786133,scispacy_best_score
hsa04261,Adrenergic signaling in cardiomyocytes,,Adrenergic signaling in cardiomyocytes.,C3156085,0.7150399088859558,scispacy_best_score
hsa04270,Vascular smooth muscle contraction,,Vascular smooth muscle contraction.,C2265839,0.9734280109405518,scispacy_best_score
hsa04970,Salivary secretion,,Salivary secretion.,C0036104,0.9757883548736572,scispacy_best_score
hsa04971,Gastric acid secretion,,Gastric acid secretion.,C0232552,0.9796597361564636,scispacy_best_score
hsa04972,Pancreatic secretion,,Pancreatic secretion.,C0030296,0.975845456123352,scispacy_best_score
hsa04976,Bile secretion,,Bile secretion.,C0232754,0.9702265858650208,scispacy_best_score
hsa04973,Carbohydrate digestion and absorption,,Carbohydrate digestion and absorption.,C0007004,0.7267072200775146,scispacy_best_score
hsa04974,Protein digestion and absorption,,Protein digestion and absorption.,C1523943,0.9625523686408997,scispacy_best_score
hsa04975,Fat digestion and absorption,,Fat digestion and absorption.,C2347023,0.9399321675300598,scispacy_best_score
hsa04979,Cholesterol metabolism,,Cholesterol metabolism.,C1156530,0.989743173122406,scispacy_best_score
hsa04977,Vitamin digestion and absorption,,Vitamin digestion and absorption.,C0012238,0.7162240743637085,scispacy_best_score
hsa04981,Folate transport and metabolism,,Folate transport and metabolism.,C0025519,0.9888912439346313,scispacy_best_score
hsa04980,Cobalamin transport and metabolism,,Cobalamin transport and metabolism.,C0025519,0.9888912439346313,scispacy_best_score
hsa04978,Mineral absorption,,Mineral absorption.,C2347023,0.7208951115608215,scispacy_best_score
hsa04962,Vasopressin-regulated water reabsorption,,Vasopressin-regulated water reabsorption.,,0.0,scispacy_best_score
hsa04960,Aldosterone-regulated sodium reabsorption,,Aldosterone-regulated sodium reabsorption.,,0.0,scispacy_best_score
hsa04961,Endocrine and other factor-regulated calcium reabsorption,,Endocrine and other factor-regulated calcium reabsorption.,C0014136,0.976462185382843,scispacy_best_score
hsa04964,Proximal tubule bicarbonate reclamation,,Proximal tubule bicarbonate reclamation.,C0022677,0.9719719290733337,scispacy_best_score
hsa04966,Collecting duct acid secretion,,Collecting duct acid secretion.,C0001128,0.7062922120094299,scispacy_best_score
hsa04724,Glutamatergic synapse,,Glutamatergic synapse.,C4328872,0.9780734181404114,scispacy_best_score
hsa04727,GABAergic synapse,,GABAergic synapse.,C4328868,0.7274147868156433,scispacy_best_score
hsa04725,Cholinergic synapse,,Cholinergic synapse.,C0242893,0.9902895092964172,scispacy_best_score
hsa04728,Dopaminergic synapse,,Dopaminergic synapse.,C4328937,0.9773266911506653,scispacy_best_score
hsa04726,Serotonergic synapse,,Serotonergic synapse.,C4690311,0.9805262684822083,scispacy_best_score
hsa04720,Long-term potentiation,,Long-term potentiation.,C0279023,0.9677777290344238,scispacy_best_score
